FACILITY_ID,REPORTING_YEAR,GHG_QUANTITY,FACILITY_NAME,GHG_NAME,OTHER_GREENHOUSE_GAS_NAME,OTHER_GAS_GHG_GROUP
1000030,2011,22.4936,US MAGNESIUM LLC,SULFUR HEXAFLUORIDE,,
1000030,2011,398.2,US MAGNESIUM LLC,OTHER GHG COVER GAS,CARBON DIOXIDE,
1002358,2011,1036.4,CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,CARBON DIOXIDE,,
1002358,2011,6.426,CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,SULFUR HEXAFLUORIDE,,
1009621,2011,1234.4,"MAGNESIUM PRODUCTS OF AMERICA, INC",OTHER GHG COVER GAS,CARBON DIOXIDE,
1009621,2011,6.271,"MAGNESIUM PRODUCTS OF AMERICA, INC","THE FLUORINATED KETONE, FK 5-1-12",,
1009621,2011,7.3,"MAGNESIUM PRODUCTS OF AMERICA, INC",SULFUR HEXAFLUORIDE,,
1009864,2011,8.24,"SPARTAN LIGHT METAL PRODUCTS, INC.",SULFUR HEXAFLUORIDE,,
1009879,2011,0.991,"NEATON AUTO PRODUCTS MANUFACTURING, INC.",SULFUR HEXAFLUORIDE,,
1009927,2011,0.6007,CHICAGO WHITE METAL CASTINGS INC,SULFUR HEXAFLUORIDE,,
1010145,2011,11.0587,MAGRETECH LLC,SULFUR HEXAFLUORIDE,,
1010145,2011,387.5522,MAGRETECH LLC,CARBON DIOXIDE,,
1010145,2011,7.4844,MAGRETECH LLC,HFC-134A,,
1010185,2011,4.953,ADVANCED MAGNESIUM ALLOYS CORPORATION,SULFUR HEXAFLUORIDE,,
1010215,2011,1.967,CONTINENTAL CASTING LLC,SULFUR HEXAFLUORIDE,,
1010215,2011,2.92,CONTINENTAL CASTING LLC,HFC-134A,,
